contact_id,payments_count,total_gross,days_since_last_purchase,normal_interval,decay_x,primary_city,primary_manager,value_tier
40721,5,1102500,56,29,1.95,Алматы,Иван,high_value
41693,2,847400,149,33,4.52,Алматы,Милана,high_value
40813,3,725600,146,15,9.73,Алматы,Диана,mid_value
37213,9,502900,126,10,12.14,Астана,Диана,mid_value
42901,7,490100,76,14,5.36,Алматы,Милана,high_value
43011,3,472900,93,35,2.70,Алматы,Милана,high_value
40733,2,372100,152,54,2.81,Алматы,Милана,mid_value
45069,3,327200,104,13,8.32,Астана,Милана,mid_value
41345,4,321770,129,18,7.30,Алматы,Милана,mid_value
39225,3,271700,107,49,2.21,Алматы,Милана,mid_value
42979,4,271050,80,30,2.70,Астана,Милана,mid_value
24247,3,235500,59,38,1.55,Алматы,Милана,mid_value
39203,3,223600,134,53,2.53,Алматы,Диана,mid_value
40337,2,220400,146,53,2.75,Алматы,Милана,mid_value
43703,2,199600,139,6,23.17,Астана,Милана,mid_value
11793,2,195000,114,1,114.00,Алматы,Милана,mid_value
35729,6,188500,115,36,3.23,Астана,Милана,mid_value
15509,2,187200,129,49,2.63,Алматы,Иван,mid_value
41513,2,161500,95,19,5.00,Алматы,Иван,mid_value
39021,3,154600,140,44,3.22,Астана,Милана,mid_value
42557,3,150000,77,51,1.52,Алматы,Иван,mid_value
47991,3,141300,42,4,12.00,Астана,Милана,mid_value
42821,2,129900,171,3,57.00,Алматы,Милана,mid_value
49175,3,129350,15,5,3.33,Алматы,Милана,mid_value
44799,2,125900,85,49,1.73,Алматы,Милана,mid_value
43629,2,119800,103,44,2.34,Алматы,Диана,mid_value
46775,2,114700,71,8,8.88,Алматы,Диана,mid_value
42805,4,113800,63,37,1.69,Астана,Милана,mid_value
46533,2,112100,51,30,1.70,Алматы,Милана,mid_value
42775,2,108200,139,37,3.76,Алматы,Милана,mid_value
42959,2,81700,136,34,4.00,Алматы,Милана,mid_value
